date,total_electricity
2018-07-01,156711000
2018-07-02,171091000
2018-07-03,86216000
2018-07-04,160931000
2018-07-05,177760000
2018-07-06,174828000
2018-07-07,146291000
2018-07-08,146090000
2018-07-09,166460000
2018-07-10,169787000
2018-07-11,166149000
2018-07-12,163503000
2018-07-13,162297000
2018-07-14,147938000
2018-07-15,153957000
2018-07-16,169219000
2018-07-17,174565000
2018-07-18,168259000
2018-07-19,159705000
2018-07-20,162342000
2018-07-21,148203000
2018-07-22,154029000
2018-07-23,177788000
2018-07-24,176639000
2018-07-25,178530000
2018-07-26,175450000
2018-07-27,174364000
2018-07-28,161422000
2018-07-29,154113000
2018-07-30,165669000
2018-07-31,168666000
2018-08-01,173175000
2018-08-02,177398000
2018-08-03,177871000
2018-08-04,162899000
2018-08-05,158166000
2018-08-06,173767000
2018-08-07,178084000
2018-08-08,179686000
2018-08-09,181331000
2018-08-10,170309000
2018-08-11,157824000
2018-08-12,160218000
2018-08-13,161056000
2018-08-14,174243000
2018-08-15,178374000
2018-08-16,180625000
2018-08-17,172312000
2018-08-18,166295000
2018-08-19,148464000
2018-08-20,160598000
2018-08-21,158732000
2018-08-22,157284000
2018-08-23,157783000
2018-08-24,159743000
2018-08-25,150083000
2018-08-26,149069000
2018-08-27,169727000
2018-08-28,176635000
2018-08-29,179327000
2018-08-30,178199000
2018-08-31,158499000
2018-09-01,147739000
2018-09-02,151645000
2018-09-03,162554000
2018-09-04,144073000
2018-09-05,134146000
2018-09-06,155977000
2018-09-07,169429000
2018-09-08,147645000
2018-09-09,138675000
2018-09-10,140218000
2018-09-11,153258000
2018-09-12,167672000
2018-09-13,163979000
2018-09-14,157654000
2018-09-15,132333000
2018-09-16,134146000
2018-09-17,164839000
2018-09-18,171691000
2018-09-19,154730000
2018-09-20,128041000
2018-09-21,139440000
2018-09-22,134828000
2018-09-23,103247000
2018-09-24,114564000
2018-09-25,119703000
2018-09-26,161825000
2018-09-27,151255000
2018-09-28,121403000
2018-09-29,117792000
2018-09-30,106454000
2018-10-01,122106000
2018-10-02,118761000
2018-10-03,118436000
2018-10-04,120134000
2018-10-05,116286000
2018-10-06,104388000
2018-10-07,124810000
2018-10-08,102148000
2018-10-09,146352000
2018-10-10,160075000
2018-10-11,144442000
2018-10-12,119364000
2018-10-13,104956000
2018-10-14,104197000
2018-10-15,121258000
2018-10-16,120710000
2018-10-17,121673000
2018-10-18,123137000
2018-10-19,124471000
2018-10-20,109528000
2018-10-21,110707000
2018-10-22,126723000
2018-10-23,124876000
2018-10-24,123213000
2018-10-25,124202000
2018-10-26,122077000
2018-10-27,107368000
2018-10-28,109275000
2018-10-29,123921000
2018-10-30,125557000
2018-10-31,122345000
2018-11-01,122671000
2018-11-02,116501000
2018-11-03,105561000
2018-11-04,104462000
2018-11-05,123632000
2018-11-06,124656000
2018-11-07,122487000
2018-11-08,122541000
2018-11-09,121637000
2018-11-10,109405000
2018-11-11,111343000
2018-11-12,111434000
2018-11-13,126090000
2018-11-14,131781000
2018-11-15,133322000
2018-11-16,132067000
2018-11-17,117786000
2018-11-18,117772000
2018-11-19,130429000
2018-11-20,129422000
2018-11-21,124498000
2018-11-22,118867000
2018-11-23,127716000
2018-11-24,119119000
2018-11-25,114794000
2018-11-26,127737000
2018-11-27,127224000
2018-11-28,127339000
2018-11-29,130142000
2018-11-30,129529000
2018-12-01,114758000
2018-12-02,112800000
2018-12-03,127064000
2018-12-04,129516000
2018-12-05,131569000
2018-12-06,131840000
2018-12-07,130927000
2018-12-08,119487000
2018-12-09,119405000
2018-12-10,136575000
2018-12-11,61030000
2018-12-12,91244000
2018-12-13,134493000
2018-12-14,131155000
2018-12-15,114873000
2018-12-16,114560000
2018-12-17,129034000
2018-12-18,133609000
2018-12-19,134385000
2018-12-20,135598000
2018-12-21,125830000
2018-12-22,113090000
2018-12-23,118463000
2018-12-24,123717000
2018-12-25,117945000
2018-12-26,130450000
2018-12-27,135095000
2018-12-28,131314000
2018-12-29,118408000
2018-12-30,119198000
2018-12-31,125058000
2019-01-01,115486000
2019-01-02,132102000
2019-01-03,131510000
2019-01-04,128085000
2019-01-05,113742000
2019-01-06,103160000
2019-01-07,82572000
2019-01-08,129813000
2019-01-09,128286000
2019-01-10,130328000
2019-01-11,132166000
2019-01-12,120345000
2019-01-13,122173000
2019-01-14,139890000
2019-01-15,139987000
2019-01-16,137388000
2019-01-17,137838000
2019-01-18,134044000
2019-01-19,122260000
2019-01-20,121678000
2019-01-21,124876000
2019-01-22,144579000
2019-01-23,142589000
2019-01-24,131487000
2019-01-25,136124000
2019-01-26,126798000
2019-01-27,125725000
2019-01-28,137822000
2019-01-29,139015000
2019-01-30,138608000
2019-01-31,144227000
2019-02-01,145904000
2019-02-02,129218000
2019-02-03,126895000
2019-02-04,134861000
2019-02-05,130606000
2019-02-06,131742000
2019-02-07,132819000
2019-02-08,130622000
2019-02-09,121455000
2019-02-10,124188000
2019-02-11,140470000
2019-02-12,138051000
2019-02-13,136952000
2019-02-14,135614000
2019-02-15,130216000
2019-02-16,117649000
2019-02-17,119434000
2019-02-18,118813000
2019-02-19,135580000
2019-02-20,137433000
2019-02-21,132795000
2019-02-22,131182000
2019-02-23,119316000
2019-02-24,123212000
2019-02-25,136928000
2019-02-26,138131000
2019-02-27,140650000
2019-02-28,140160000
2019-03-01,136374000
2019-03-02,124452000
2019-03-03,123019000
2019-03-04,123509000
2019-03-05,138506000
2019-03-06,139981000
2019-03-07,142048000
2019-03-08,140301000
2019-03-09,50983000
2019-03-10,117597000
2019-03-11,136400000
2019-03-12,137827000
2019-03-13,137470000
2019-03-14,134663000
2019-03-15,125962000
2019-03-16,111911000
2019-03-17,114272000
2019-03-18,133656000
2019-03-19,134772000
2019-03-20,133694000
2019-03-21,132805000
2019-03-22,131790000
2019-03-23,118311000
2019-03-24,117573000
2019-03-25,130132000
2019-03-26,90238000
2019-03-27,37829000
2019-03-28,130237000
2019-03-29,126854000
2019-03-30,28615000
2019-03-31,108511000
2019-04-01,129629000
2019-04-02,131559000
2019-04-03,128016000
2019-04-04,128479000
2019-04-05,128690000
2019-04-06,115370000
2019-04-07,115202000
2019-04-08,128494000
2019-04-09,128884000
2019-04-10,129610000
2019-04-11,128115000
2019-04-12,125801000
2019-04-13,111719000
2019-04-14,111281000
2019-04-15,111905000
2019-04-16,132033000
2019-04-17,126092000
2019-04-18,122109000
2019-04-19,115434000
2019-04-20,99647000
2019-04-21,100673000
2019-04-22,114697000
2019-04-23,117115000
2019-04-24,114555000
2019-04-25,116426000
2019-04-26,116899000
2019-04-27,102363000
2019-04-28,100227000
2019-04-29,122551000
2019-04-30,126695000
2019-05-01,126996000
2019-05-02,124954000
2019-05-03,120461000
2019-05-04,107361000
2019-05-05,105251000
2019-05-06,121334000
2019-05-07,118139000
2019-05-08,117293000
2019-05-09,119953000
2019-05-10,117481000
2019-05-11,103880000
2019-05-12,103215000
2019-05-13,118777000
2019-05-14,122889000
2019-05-15,121707000
2019-05-16,119026000
2019-05-17,117862000
2019-05-18,105107000
2019-05-19,105263000
2019-05-20,147566000
2019-05-21,148484000
2019-05-22,129186000
2019-05-23,97794000
2019-05-29,2441000
2019-05-30,11143000
2019-05-31,28909000
2019-06-01,12442000
2019-06-02,13518000
2019-06-03,22850000
2019-06-04,131114000
2019-06-05,142590000
2019-06-06,144062000
2019-06-07,137762000
2019-06-08,126164000
2019-06-09,125539000
2019-06-10,127313000
2019-06-11,135590000
2019-06-12,139012000
2019-06-13,132196000
2019-06-14,138117000
2019-06-15,125552000
2019-06-16,128172000
2019-06-17,140783000
2019-06-18,135352000
2019-06-19,135690000
2019-06-20,75962000
2019-06-21,18025000
2019-06-22,14858000
2019-06-23,20585000
2019-06-24,24192000
2019-06-25,20890000
2019-06-26,27296000
2019-06-27,14319000
2019-06-28,13472000
2019-06-29,20232000
2019-06-30,14033000
2019-07-01,3232000
2019-07-02,5965000
2019-07-03,15551000
2019-07-04,18198000
2019-07-05,22556000
2019-07-06,22507000
2019-07-07,36950000
2019-07-08,23937000
2019-07-09,7862000
2019-07-10,5750000
2019-07-11,21455000
2019-07-12,13067000
2019-07-13,9328000
2019-07-14,5375000
2019-07-15,22975000
2019-07-16,44554000
2019-07-17,114976000
2019-07-18,78559000
2019-07-19,9677000
2019-07-20,20728000
2019-07-21,15010000
2019-07-22,4802000
2019-07-23,10245000
2019-07-24,83903000
2019-07-25,140965000
2019-07-26,143756000
2019-07-27,128840000
2019-07-28,133142000
2019-07-29,95123000
2019-07-30,27008000
2019-07-31,21102000
2019-08-01,33850000
2019-08-02,13869000
2019-08-03,12130000
2019-08-04,9723000
2019-08-05,17425000
2019-08-06,23429000
2019-08-07,14184000
2019-08-08,23389000
2019-08-09,6941000
2019-08-10,12727000
2019-08-11,18605000
2019-08-12,49250000
2019-08-13,11090000
2019-08-14,21937000
2019-08-15,16549000
2019-08-16,11401000
2019-08-17,1032000
2019-08-18,20771000
2019-08-19,23820000
2019-08-20,20380000
2019-08-21,16912000
2019-08-22,20191000
2019-08-23,12227000
2019-08-24,14419000
2019-08-25,14302000
2019-08-26,19523000
2019-08-27,9526000
2019-08-28,3255000
2019-08-29,32541000
2019-08-30,16433000
2019-08-31,22859000
2019-09-01,21485000
2019-09-02,15564000
2019-09-03,12962000
2019-09-04,15911000
